#{"t_start": 1643621120.784811, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
-51.095181,50,4823.020856
-50.713823,50,4846.956361
-50.681939,50,4889.105622
-50.638057,50,4912.69929
-50.382683,50,4937.314341
-50.364668,50,4965.942338
-49.525219,50,4997.107624
-49.439166,50,5014.16919
-48.588116,50,5031.30264
-51.036397,50,5064.004044
-50.867075,50,5089.541298
-50.871463,50,5111.97999
-50.608002,50,5129.185637
-50.741501,50,5160.942559
-50.438006,50,5181.293372
-49.442992,50,5196.75829
-50.407692,50,5221.712379
-50.720225,50,5259.193546
-50.005601,50,5280.476396
-50.069816,50,5317.166543
-50.49912,50,5341.819403
-50.289421,50,5356.91087
-49.745214,50,5375.118816
-48.818716,50,5393.105238
-49.118699,50,5424.246502
-50.248829,50,5448.551247
-50.833637,50,5469.156346
-50.038536,50,5489.572212
-48.868129,50,5504.841482
-46.465753,50,5531.390276
-50.50561,50,5546.308725
-49.955473,50,5572.325783
-50.7585,50,5598.764541
-51.06279,50,5617.820868
-49.412835,50,5647.845366
-49.808609,50,5665.842836
-46.727719,50,5683.151246
-51.183931,50,5701.578183
-51.117629,50,5725.402056
-46.338531,50,5755.961432
-46.58385,50,5781.48704
-46.775016,50,5796.270895
-79.623533,50,5831.634247
-78.423938,50,5853.583154
-78.948639,50,5873.605169
-78.936409,50,5889.142454
-73.160572,50,5915.884782
-73.175178,50,5935.906327
-73.597267,50,5960.181818
-72.515619,50,5974.649323
-74.146956,50,6010.328398
-55.216482,50,6033.871076
-57.910511,50,6055.620527
-51.331701,50,6070.166097
-49.614514,50,6084.845353
-48.03483,50,6103.518746
-48.474594,50,6136.611972
-46.637896,50,6164.51242
-46.584386,50,6194.228481
-46.258221,50,6230.873618
-47.184186,50,6263.436284
-49.886747,50,6298.401144
-50.087825,50,6324.48144
-49.802041,50,6351.718956
-47.697043,50,6378.662422
-76.127257,50,6397.160449
-76.808936,50,6425.662122
-75.777103,50,6451.692616
-76.194673,50,6468.780563
-76.306214,50,6487.936141
-75.534854,50,6509.069268
-75.956559,50,6543.461781
-72.93281,50,6573.013115
-72.966459,50,6599.135759
-72.398025,50,6621.90488
-74.905411,50,6649.29751
-73.337372,50,6672.651486
-74.004953,50,6704.031273
-73.996781,50,6752.450788
-74.519955,50,6767.228967
-74.786204,50,6789.510219
-64.119635,50,6826.824263
-62.091185,50,6853.193252
-61.198826,50,6867.019256
-62.095776,50,6891.603747
-64.435937,50,6916.193067
-63.694604,50,6933.541573
-63.260078,50,6959.275273
-64.045472,50,6979.855657
-64.418725,50,6996.106055
-64.304285,50,7013.752095
-65.171371,50,7039.784416
-66.664718,50,7059.359396
-65.266428,50,7085.710611
-65.261941,50,7114.272199
-65.433963,50,7135.950917
-64.915628,50,7154.203156
-64.194728,50,7177.003749
-64.441087,50,7194.963312
-66.678711,50,7212.541475
-64.97533,50,7239.917532
-66.023301,50,7262.786605
-65.196951,50,7289.888379
-71.831913,50,7313.024588
-72.822669,50,7335.770283
-70.856855,50,7362.737179
-69.406294,50,7388.986636
-74.969391,50,7410.894566
-76.358206,50,7435.116343
-75.809417,50,7462.653859
-75.360435,50,7489.234862
-75.81228,50,7516.366738
-75.681835,50,7549.711665
-75.123842,50,7581.790321
-76.286121,50,7611.917569
-74.406437,50,7629.982177
-74.600297,50,7643.919319
-70.573033,50,7660.793226
-70.677551,50,7678.55163
-69.4556,50,7692.216146
-66.366665,50,7709.769643
-69.501066,50,7726.257609
-62.678933,50,7742.501194
-65.764085,50,7757.763269
-66.343761,50,7772.521053
-65.909638,50,7791.138175
-67.808451,50,7810.618391
-65.709771,50,7824.600516
-67.534771,50,7850.487743
-66.254022,50,7873.306364
-66.542487,50,7891.624192
-68.041289,50,7912.041064
-69.746475,50,7933.66171
-70.482657,50,7947.288329
-64.512718,50,7963.021942
-65.739989,50,7984.965222
-64.623144,50,7998.500751
-65.804709,50,8011.583983
-64.117842,50,8028.07661
-66.92217,50,8047.930895
-68.511849,50,8068.686927
-70.565832,50,8087.054336
-70.074641,50,8108.650828
-69.313249,50,8132.943968
-64.288667,50,8156.885404
-71.061928,50,8189.577667
-63.984575,50,8216.223261
-68.955626,50,8241.557542
-70.678144,50,8271.786642
-61.873252,50,8290.902522
-60.076456,50,8322.02307
-64.910436,50,8346.361976
-60.27047,50,8374.488795
-66.48257,50,8399.762156
-69.466306,50,8418.220866
-63.797628,50,8436.992322
-57.375743,50,8468.077496
-64.664399,50,8498.496497
-65.112867,50,8534.267099
-64.169967,50,8554.207083
-66.437255,50,8575.954199
-69.332343,50,8596.396954
-70.682979,50,8627.601452
-74.304471,50,8641.613304
-73.197842,50,8656.988142
-71.051485,50,8687.789768
-66.8761,50,8716.554097
-69.627739,50,8731.7318
-73.112258,50,8752.109542
-68.370112,50,8786.775087
-71.707865,50,8809.457883
-74.651889,50,8826.902055
-68.539073,50,8851.263122
-74.26163,50,8870.772514
-71.725988,50,8896.697544
-73.013231,50,8915.720338
-72.851592,50,8943.900168
-70.509951,50,8962.55995
-70.232808,50,8992.86262
-72.751342,50,9017.277325
-68.93082,50,9034.967815
-75.280568,50,9064.370568
-75.40505,50,9088.36498
-69.849745,50,9115.630446
-69.279969,50,9141.696203
-48.393371,50,9160.413306
-48.137109,50,9188.838056
-48.53687,50,9208.331941
-74.430912,50,9232.195697
-71.38044,50,9257.22513
-75.926934,50,9276.199392
-76.010467,50,9293.201118
-72.039046,50,9316.292698
-47.986397,50,9343.011378
-48.365278,50,9367.892625
-49.077545,50,9389.082814
-46.086939,50,9415.279049
-46.833365,50,9438.257016
-50.326937,50,9459.834476
-51.398723,50,9480.018321
-56.365187,50,9498.855661
-50.966669,50,9522.91962
-52.64399,50,9547.574929
-53.078839,50,9571.374426
-53.364326,50,9588.754403
-51.634322,50,9620.008271
-52.200345,50,9634.309871
-55.831838,50,9652.133877
-49.812015,50,9671.076171
-57.207846,50,9685.72127
-55.739558,50,9703.975724
-56.806457,50,9728.629413
-55.383187,50,9759.284765
-57.180557,50,9784.915752
-63.836437,50,9804.710564
-64.21133,50,9823.632115
-58.608303,50,9850.84848
-67.691672,50,9868.354913
-67.236321,50,9886.39442
-55.434977,50,9903.144675
-58.701415,50,9919.289946
-53.551638,50,9935.928159
-60.223835,50,9959.912524
-63.725524,50,9976.38946
-51.627675,50,10001.412327
-57.295678,50,10021.796712
-61.68508,50,10045.513747
-57.048024,50,10080.077089
-50.841848,50,10104.163597
-60.441292,50,10126.357999
-55.935456,50,10152.754032
-57.505889,50,10174.477809
-59.076227,50,10203.980748
-52.833171,50,10232.122486
-55.443409,50,10250.051761
-68.618327,50,10273.790914
-56.701991,50,10292.777288
-71.460154,50,10307.552305
-61.703158,50,10320.235245
-56.058233,50,10352.817737
-65.324904,50,10366.742048
-62.946844,50,10397.476203
-59.116658,50,10417.954741
-69.733334,50,10430.452339
-68.476217,50,10445.38075
-53.589675,50,10463.111791
-60.467165,50,10486.466368
-53.374545,50,10498.402163
-53.086979,50,10522.041806
-54.380459,50,10549.725832
-52.603468,50,10566.600409
-67.714361,50,10581.956711
-54.749935,50,10606.556944
-53.788251,50,10622.60077
-55.480878,50,10644.493124
-53.476108,50,10659.173228
-53.601796,50,10674.267288
-54.120035,50,10698.104136
-53.432595,50,10719.429475
-53.405031,50,10743.984196
-61.152853,50,10760.478402
-54.19937,50,10789.86638
-53.887259,50,10804.437804
-53.873681,50,10830.831047
-53.555845,50,10846.149073
-53.739896,50,10862.292147
-53.375199,50,10880.626007
-53.698434,50,10898.917473
-53.659824,50,10924.243923
-53.950285,50,10949.432504
-53.385324,50,10963.864062
-53.96829,50,10980.612531
-53.681311,50,10999.479624
-53.313246,50,11025.840764
-53.691789,50,11049.085984
-53.410385,50,11065.837801
-53.856111,50,11080.948617
-54.112842,50,11105.228893
-53.288597,50,11133.22171
-53.351812,50,11148.529283
-53.387785,50,11168.981004
-53.469688,50,11190.753106
-53.813631,50,11216.798985
-53.790364,50,11234.799596
-53.57375,50,11250.586541
-53.636596,50,11272.720198
-53.908859,50,11304.840997
-54.110039,50,11324.102949
-53.736703,50,11343.665432
-61.806833,50,11375.282438
-53.374544,50,11399.754782
-53.813117,50,11418.204629
-59.26764,50,11446.356489
-53.21846,50,11470.583707
-53.756373,50,11500.373014
-54.047596,50,11518.804577
-53.559667,50,11540.145369
-53.464166,50,11572.330604
-53.899387,50,11595.048836
-53.913758,50,11628.872827
-54.563589,50,11652.89836
-53.85777,50,11682.150622
-53.88416,50,11708.845549
-53.754421,50,11728.720108
-54.316433,50,11750.245068
-53.622581,50,11769.755218
-53.842658,50,11797.099647
-54.283574,50,11825.056157
-53.751274,50,11857.078335
-53.505321,50,11876.644602
-53.892056,50,11900.249998
-53.622622,50,11926.196663
-57.700212,50,11949.761169
-61.228093,50,11978.490628
-73.658055,50,12004.919035
-73.28873,50,12032.161504
-64.557883,50,12058.91011
-67.195856,50,12085.216773
-70.079226,50,12112.515404
-73.220234,50,12133.226983
-68.116012,50,12155.759581
-72.555074,50,12176.285889
-69.814515,50,12210.076852
-68.37209,50,12238.581087
-62.14693,50,12265.273779
-60.242012,50,12282.552551
-50.777933,50,12303.830361
-50.153536,50,12327.484108
-49.897541,50,12341.616094
-49.864974,50,12362.395373
-49.927242,50,12384.751859
-49.480512,50,12414.766038
-49.438725,50,12431.147502
-49.71548,50,12453.921704
-49.742832,50,12469.902256
-49.90341,50,12490.338896
-49.946426,50,12521.900351
-49.754543,50,12536.125496
-49.990353,50,12552.338381
-49.490108,50,12578.969594
-49.750805,50,12596.900863
-49.904091,50,12615.45021
-48.948426,50,12639.247464
-54.700814,50,12669.251038
-52.838084,50,12695.253889
-55.843481,50,12725.324324
-49.923264,50,12740.487711
-60.05306,50,12756.659277
-50.283483,50,12775.807323
-50.901434,50,12791.184664
-59.613974,50,12806.773261
-52.674207,50,12840.503422
-58.306425,50,12858.413115
-63.215717,50,12897.838563
-64.2928,50,12914.969127
-70.899194,50,12932.33443
-72.711202,50,12951.803333
-71.133003,50,12967.867468
-69.133409,50,12985.927904
-69.921763,50,13010.806841
-67.265114,50,13028.684784
-72.234599,50,13052.264016
-72.280722,50,13068.435481
-68.000156,50,13092.010334
-71.878454,50,13119.951491
-58.839975,50,13136.626577
-49.867432,50,13156.865324
-50.154435,50,13180.586084
-52.044938,50,13207.083863
-53.746415,50,13226.870914
-51.566828,50,13253.866585
-52.710517,50,13272.750317
-52.262622,50,13305.718754
-52.878665,50,13340.729459
-52.987842,50,13370.250243
-409.821286,9,13381.247172
-411.132425,10,13385.764813
-52.671318,50,13393.768755
-51.887104,50,13417.29213
-54.705472,50,13447.585337
-54.056451,50,13474.115151
-53.612879,50,13492.502086
-68.634512,50,13507.378075
-74.834044,50,13543.193008
-75.847014,50,13566.642015
-78.074018,50,13593.79803
-79.654051,50,13609.490788
-80.755458,50,13641.438844
-79.580781,50,13657.25406
-79.108065,50,13683.035768
-79.24605,50,13716.695702
-79.509007,50,13739.353691
-79.73003,50,13757.076889
-79.937385,50,13772.950886
-78.937093,50,13799.26788
-79.297403,50,13822.590388
-78.376843,50,13842.449115
-77.326319,50,13860.537834
-77.681146,50,13888.438728
-78.160145,50,13921.151654
-77.510619,50,13955.150037
-78.032706,50,13969.285854
-78.203879,50,13985.724629
-77.680564,50,14009.912979
-77.796462,50,14033.265494
-78.940919,50,14051.942269
-78.710783,50,14072.83708
-77.944008,50,14091.975547
-79.670508,50,14107.720697
-79.820482,50,14126.41817
-79.324728,50,14143.168495
-78.942923,50,14158.070215
-80.089183,50,14174.097115
-76.882719,50,14191.072629
-77.877457,50,14205.761272
-78.001027,50,14238.003667
-79.676849,50,14266.997979
-78.94069,50,14282.166239
-78.124581,50,14301.630981
-77.963122,50,14330.781902
-77.273989,50,14347.921834
-77.711719,50,14372.701428
-77.149879,50,14400.273992
-78.43962,50,14433.635114
-76.657567,50,14453.472322
-75.983011,50,14468.565215
-76.434754,50,14487.50566
-77.743687,50,14502.553871
-78.342701,50,14521.29365
-77.208546,50,14546.94449
-77.662777,50,14561.738384
-77.62642,50,14582.110545
-77.234505,50,14604.051284
-76.007826,50,14620.804924
-76.628961,50,14643.395385
-74.697561,50,14660.643496
-74.890178,50,14682.873919
-76.220811,50,14696.447068
-77.001953,50,14718.994547
-75.964587,50,14740.82146
-74.355132,50,14757.983453
-76.756667,50,14791.848568
-75.7697,50,14810.15123
-75.806391,50,14824.383496
-75.401855,50,14839.931718
-70.011787,50,14858.269718
-70.527787,50,14876.726691
-70.992013,50,14895.009721
-70.692058,50,14916.02593
-70.43434,50,14938.081811
-72.412267,50,14953.769141
-71.710663,50,14976.316289
-71.705263,50,14990.46185
-71.705929,50,15005.443614
-70.312178,50,15019.804633
-71.864896,50,15044.664337
-70.096411,50,15064.133504
-69.328818,50,15078.184043
-69.147751,50,15100.249052
-69.260158,50,15128.392837
-67.291659,50,15145.528085
-66.785288,50,15167.699094
-59.986438,50,15186.578406
-60.746779,50,15203.764517
-60.27365,50,15233.698997
-60.007377,50,15259.57044
-58.103432,50,15278.835284
-58.419863,50,15308.955141
-54.445383,50,15328.940385
-54.283721,50,15352.86454
-58.149608,50,15377.527494
-58.174638,50,15399.092702
-58.519054,50,15419.882338
-57.769036,50,15444.960417
-59.742921,50,15474.993385
-66.06987,50,15510.725037
-63.772897,50,15543.971967
-62.714393,50,15563.39182
-56.087993,50,15591.391115
-54.848019,50,15616.208907
-54.6347,50,15635.260918
-54.340339,50,15657.917675
-65.948571,50,15676.411066
-65.743288,50,15701.51186
-67.243297,50,15719.615225
-68.849093,50,15734.064564
-70.529053,50,15752.59956
-70.548621,50,15778.84831
-70.939969,50,15799.667006
-70.928405,50,15820.114352
-70.375457,50,15834.396593
-68.295763,50,15852.958922
-70.365957,50,15867.413719
-70.604492,50,15881.933841
-69.481407,50,15899.568974
-67.749927,50,15922.877591
-63.310079,50,15937.206778
-68.458649,50,15960.520406
-50.786934,50,15987.26502
-51.470665,50,16001.664663
-52.435562,50,16015.929997
-58.599081,50,16040.909076
-52.075543,50,16068.284835
-54.111763,50,16093.097668
-66.084094,50,16116.338386
-68.049149,50,16132.201723
-61.505164,50,16148.789354
-58.858616,50,16163.482301
-57.510796,50,16188.402903
-55.782906,50,16202.725021
-54.986616,50,16230.061387
-54.410321,50,16243.901834
-59.584603,50,16269.990339
-61.474006,50,16297.087861
-60.399981,50,16317.831511
-58.952933,50,16333.801708
-59.481806,50,16353.471801
-58.313556,50,16387.481992
-61.25475,50,16411.527258
-59.576699,50,16426.001929
-59.836509,50,16454.321832
-62.421536,50,16478.647962
-59.837523,50,16511.346765
-60.083906,50,16533.528543
-58.760847,50,16549.124431
-59.006161,50,16563.617397
