#{"t_start": 1643969569.751914, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0,5,1808.685981
0,6,1810.675008
0,7,1812.741106
0,7,1814.814773
0,4,1817.060776
0,6,1818.677816
0,6,1820.650873
0,5,1822.375226
0,6,1824.328905
0,5,1826.202541
0,7,1827.813386
0,6,1829.48244
0,5,1831.3964
0,7,1833.255012
0,8,1835.282061
0,5,1837.762107
0,6,1839.70763
0,5,1841.709167
0,6,1843.631008
0,6,1845.721296
0,8,1847.978201
0,7,1850.213165
0,6,1852.352279
0,6,1854.37653
0,7,1856.452243
0,6,1858.462493
0,7,1860.455315
0,5,1862.542237
0,6,1864.01677
0,6,1866.133494
0,8,1868.030383
0,6,1870.321949
0,5,1872.408248
0,7,1874.148155
0,6,1876.330313
0,6,1878.364876
0,7,1880.564173
0,5,1882.852664
0,5,1884.464111
0,5,1886.31167
0,8,1888.079461
0,7,1890.572595
0,6,1893.038154
0,5,1894.992506
0,7,1896.880982
0,7,1898.846195
0,6,1900.90769
0,7,1902.684203
0,5,1904.826811
0,6,1906.738899
0,7,1908.542714
0,6,1910.687686
0,5,1912.742697
0,4,1914.5312
0,7,1916.06802
0,6,1918.025426
0,5,1919.7082
0,6,1921.308147
0,7,1923.440421
0,5,1925.69482
0,6,1927.526136
0,7,1929.428273
0,5,1931.521998
0,5,1933.173499
0,5,1935.047266
0,5,1936.732329
0,7,1938.679133
0,6,1940.44422
0,6,1942.217494
0,5,1944.304648
0,7,1946.236748
0,6,1948.15478
0,5,1949.824807
0,8,1951.70249
0,8,1954.285619
0,6,1956.769714
0,6,1958.620543
0,5,1960.275905
0,5,1961.927119
0,6,1963.594198
0,5,1965.508978
0,5,1967.328366
0,4,1968.991287
0,5,1970.445837
0,5,1972.041303
0,5,1973.923183
0,5,1975.569036
0,6,1977.401982
0,6,1979.547241
0,5,1981.493426
0,7,1983.031973
0,5,1985.311993
0,6,1987.047518
0,4,1988.7794
0,5,1990.238282
0,5,1991.884923
0,5,1993.664457
0,5,1995.565317
0,5,1997.37509
0,5,1999.2056
0,5,2000.891546
0,5,2002.560353
0,5,2004.175282
0,5,2006.042751
0,6,2007.761296
0,5,2009.63161
0,5,2011.483017
0,5,2013.341923
0,5,2015.05234
0,6,2016.793241
0,5,2018.897017
0,6,2020.758549
0,5,2022.689173
0,6,2024.255738
0,4,2026.220765
0,5,2027.897441
0,4,2029.478888
0,5,2031.095312
0,4,2032.875624
0,5,2034.523871
0,5,2036.11709
0,5,2037.777188
0,5,2039.511059
0,5,2041.033771
0,4,2042.65954
0,4,2044.227884
0,6,2045.618196
0,4,2047.544417
0,5,2049.293652
0,5,2050.904221
0,5,2052.630415
0,5,2054.286916
0,5,2056.25022
0,5,2058.109506
0,4,2059.94015
0,5,2061.66648
0,5,2063.359146
0,5,2065.069941
0,5,2066.674485
0,4,2068.581299
0,6,2070.323716
0,5,2072.06173
0,4,2073.735638
0,5,2075.1999
0,6,2077.027222
0,6,2079.226595
0,6,2081.26025
0,5,2083.068695
0,6,2084.960109
0,5,2086.974382
0,5,2088.749939
0,5,2090.388387
0,5,2092.136356
0,4,2093.913836
0,6,2095.62591
0,5,2097.449841
0,5,2099.46648
0,6,2101.072601
0,6,2102.896948
0,5,2104.995233
0,4,2106.828472
0,4,2108.221449
0,6,2109.945176
0,6,2111.718357
0,6,2113.898786
0,4,2115.620642
0,5,2117.297648
0,5,2118.940304
0,5,2120.837436
0,5,2122.508191
0,5,2124.260563
0,4,2125.954723
0,5,2127.564222
0,6,2129.290945
0,6,2131.020226
0,6,2133.13526
0,6,2135.036542
0,5,2136.916316
0,6,2138.972475
0,5,2140.96753
0,5,2142.691604
0,6,2144.290773
0,5,2146.29973
0,5,2148.204505
0,5,2149.934677
0,6,2151.695323
0,6,2153.614524
0,6,2155.471314
0,5,2157.564441
0,6,2159.046452
0,6,2160.873504
0,4,2162.793317
0,4,2164.185328
0,5,2165.63885
0,5,2167.555491
0,5,2169.285517
0,5,2170.936187
0,4,2172.635058
0,5,2174.360491
0,5,2176.159437
0,5,2177.864042
0,6,2179.874197
0,6,2182.088493
0,6,2184.106435
0,5,2186.219957
0,6,2188.276507
0,5,2190.399397
0,4,2192.031259
0,5,2193.638281
0,5,2195.196406
0,4,2197.027275
0,6,2198.637892
0,5,2200.669773
0,5,2202.362992
0,6,2204.13582
0,4,2205.961027
0,6,2207.631931
0,6,2209.614939
0,5,2211.733488
0,5,2213.624011
0,4,2215.325801
0,6,2217.019197
0,4,2219.006766
0,4,2220.588627
0,5,2222.273977
0,6,2224.308933
0,5,2226.314605
0,5,2228.069898
0,5,2229.752642
0,6,2231.413579
0,7,2233.305863
0,5,2235.223553
0,4,2236.942733
0,5,2238.462609
0,5,2240.257674
0,5,2242.015707
0,6,2243.523306
0,5,2245.927003
0,6,2247.84679
0,5,2249.742007
0,5,2251.617942
0,5,2253.505007
0,6,2255.277426
0,5,2257.297169
0,5,2259.025652
0,5,2260.65755
0,4,2262.570419
0,5,2263.910895
0,4,2265.582828
0,4,2267.175002
0,5,2268.856655
0,5,2270.524392
0,6,2272.279265
0,5,2274.008413
0,4,2275.74205
0,5,2277.488544
0,5,2279.430078
0,6,2281.088776
0,6,2283.14126
0,4,2285.147619
0,5,2286.886237
0,4,2288.670454
0,5,2290.288207
0,5,2292.302979
0,5,2293.866527
0,5,2295.600084
0,4,2297.391047
0,5,2299.204222
0,6,2300.926004
0,5,2302.863723
0,6,2304.85857
0,5,2306.768677
0,6,2308.949447
0,5,2311.020822
0,4,2312.656337
0,5,2314.201212
0,5,2316.019794
0,6,2317.787248
0,4,2319.81484
0,6,2321.264356
0,4,2323.12003
0,5,2324.756426
0,6,2326.60204
0,6,2328.522888
0,5,2330.679312
0,5,2332.437584
0,4,2334.267128
0,4,2335.842836
0,4,2337.574839
0,5,2339.281981
0,4,2340.976179
0,72,2345.23897
0,5,2358.937454
0,6,2361.101396
0,5,2363.275591
0,5,2365.078383
0,5,2366.744785
0,5,2368.446452
0,6,2370.397954
0,5,2372.400704
0,5,2374.050538
0,5,2375.648367
0,5,2377.301853
0,5,2379.141172
0,5,2380.906422
