#{"t_start": 1644673223.226227, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0,8,3674.080708
233.114064,97,3680.541791
23.674211,100,3701.14184
20.946357,76,3720.76432
225.287015,76,3737.580036
227.221697,86,3753.917337
0,8,3769.226247
223.375155,75,3774.218257
26.173293,100,3790.971416
0,8,3808.581777
33.770768,99,3814.201423
29.060245,97,3836.052583
28.985176,100,3856.896156
32.571417,98,3878.132494
227.913473,85,3898.427278
230.344585,87,3916.598158
230.339181,93,3935.39376
228.746925,89,3955.20047
0,100,3974.392036
229.655596,93,3995.962016
26.883706,100,4015.903897
0,80,4036.443687
31.454426,100,4054.815206
28.358564,100,4075.913923
29.988392,100,4096.915479
33.161554,100,4118.305834
0,100,4139.369306
28.832093,100,4161.217946
27.277112,100,4182.506644
25.942525,90,4203.791956
26.551342,100,4224.239553
0,100,4245.955975
27.235577,86,4268.90855
227.707469,94,4287.45027
226.426516,81,4307.188041
30.986802,100,4325.246789
38.214883,100,4346.980139
0,100,4368.838372
28.719675,100,4393.776242
30.577317,100,4414.989996
30.075276,100,4435.724383
25.628099,100,4456.826653
230.070239,96,4477.54485
27.244206,100,4498.026075
230.89264,100,4519.447753
230.853024,99,4540.424842
0,100,4562.166484
22.475322,100,4585.722614
32.52843,100,4607.308431
27.543552,100,4628.255339
228.316857,88,4649.093121
227.397907,86,4667.688396
31.750221,100,4686.930816
26.649443,91,4708.042576
230.726342,97,4727.869039
30.429802,100,4748.686893
26.064905,92,4769.100086
227.154919,95,4788.947366
16.66146,88,4808.725212
224.205346,90,4827.244676
221.411346,86,5096.707989
216.780818,77,5114.623875
222.30119,82,5131.421551
29.283927,100,5151.196517
213.10717,93,5172.334315
31.656223,100,5192.150087
229.670268,100,5463.548419
31.743861,100,5483.980952
223.702924,87,5504.451854
1.991936,100,5524.150903
216.952843,98,5545.382967
28.424332,100,5565.697404
31.907734,99,5587.19567
32.138817,100,5608.162106
18.556906,96,5629.241647
29.399927,100,5649.101491
226.2625,84,5670.058856
27.689148,100,5688.812512
28.645416,100,5710.274359
225.046426,79,5731.577942
27.027988,100,5749.836997
225.707277,88,5770.83603
224.643017,83,5789.021991
32.340579,100,5807.232546
227.061414,86,5828.328245
30.356672,100,5847.771016
224.345151,77,5868.312154
228.482203,94,5885.301069
219.39766,72,5904.231766
220.617403,79,5919.964804
29.515507,100,5937.84625
220.514417,76,5958.210265
224.696554,80,5975.290652
26.874831,100,5993.102956
0,100,6014.435909
32.656014,96,6036.780267
26.487855,100,6057.584161
218.229772,90,6078.381265
0,100,6097.533222
0,100,6120.347449
25.229525,100,6142.355565
