#{"t_start": 1644220734.8411236, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
13.538819,100,5914.54195
13.672593,100,5935.051167
10.924864,99,5955.716652
9.232966,100,5976.6304
7.323999,100,5997.248436
13.474767,100,6017.828253
10.252556,100,6039.916141
9.766596,100,6061.461218
7.116038,100,6082.550414
15.312405,100,6103.534039
12.482895,100,6125.101282
14.813474,100,6145.722222
9.959579,100,6167.606583
11.28728,100,6188.096071
6.39745,100,6209.432446
10.60256,100,6230.747363
12.641974,100,6252.101843
13.888709,100,6274.255689
7.333031,100,6295.088203
6.59002,99,6315.732425
11.151187,100,6336.847469
14.269417,100,6358.3664
7.448312,95,6379.151871
10.013202,100,6399.130517
13.323498,100,6419.57726
5.030625,100,6440.905776
8.7374,100,6462.740925
13.105685,100,6484.254856
10.17841,100,6505.003029
9.623405,100,6527.321919
11.074942,100,6547.870127
7.897235,100,6568.751728
11.777487,100,6590.647581
8.661164,100,6611.3076
8.899729,100,6631.79162
13.055663,100,6652.484469
15.033894,100,6673.085292
10.351711,100,6693.983523
6.44997,100,6715.624716
4.427641,100,6736.646627
8.065708,100,6757.964178
10.01598,100,6779.441224
7.986361,100,6800.364417
8.397548,100,6821.461312
15.680857,100,6842.825229
8.577905,100,6864.296499
6.402379,100,6885.697652
4.609469,100,6906.939763
12.683797,100,6928.59505
7.331289,100,6949.981126
8.364632,100,6971.652691
7.091779,100,6992.871084
10.192614,100,7014.061084
7.097174,100,7034.878652
6.359313,100,7056.553097
10.831913,97,7078.390131
4.208885,87,7099.448319
7.808057,100,7118.276736
11.258222,100,7139.437375
11.961869,100,7160.710394
7.62026,100,7181.60919
2.582363,81,7202.064879
5.724775,100,7220.357812
0.078569,95,7241.192686
0.079961,100,7261.495872
10.351306,100,7282.953344
4.754917,87,7303.469356
16.641919,99,7322.309744
0,94,7343.019087
16.958574,100,7363.439231
12.273358,100,7384.215653
12.927631,95,7405.186302
13.237433,100,7425.762223
0,1,7443.472438
9.122503,100,7448.044325
10.602259,100,7469.994823
3.296407,100,7490.937608
12.882996,98,7512.149695
3.577518,100,7532.871151
15.462975,100,7554.082022
11.769456,97,7574.978568
0,1,7591.864448
1.905756,100,7596.107418
5.158823,100,7617.456754
7.964929,100,7638.809654
3.707531,93,7660.150247
0,96,7680.139944
8.059239,100,7700.673697
0,59,7720.908231
5.232157,100,7735.214045
0.094886,100,7756.648601
1.673353,100,7778.285578
15.809654,100,7799.378292
6.351145,100,7820.890862
2.254178,100,7842.863881
4.645849,100,7863.440022
10.309424,100,7884.651417
5.686323,100,7905.740504
0.220951,100,7926.711997
10.636374,100,7947.718841
12.729184,100,7969.131631
2.661998,100,7990.280358
2.265851,100,8011.181808
5.500317,95,8031.471437
0,100,8051.327871
13.089215,100,8072.706607
7.219834,100,8094.756325
3.341613,100,8117.27233
0.032155,83,8139.564678
0.137283,100,8160.536404
4.613391,100,8184.685576
0,1,8201.735331
5.778271,100,8207.089184
8.798513,100,8228.351696
0.19912,100,8250.391327
2.2863,82,8271.506875
1.081193,100,8290.626562
1.599116,100,8313.287023
9.353679,100,8335.560682
1.360911,100,8357.799736
0.741516,100,8380.061906
5.066151,100,8401.787969
0,62,8422.48883
0,100,8439.116174
1.562609,100,8460.671219
0,100,8482.96476
2.925959,100,8504.704858
3.024853,97,8524.689596
3.524784,100,8545.268655
1.222266,100,8566.62237
0,100,8587.135657
0.028941,100,8608.030734
0.556318,96,8628.856048
0.008812,100,8648.504543
0,100,8668.532485
2.019012,100,8689.75061
2.402214,100,8711.302391
0,100,8732.879115
1.144511,100,8753.97141
1.098864,100,8774.301217
0.822521,100,8795.265204
2.244277,98,8816.255935
0.233096,99,8837.670679
1.012144,96,8858.40848
2.824563,100,8878.460307
0.402658,90,8898.965904
0,100,8918.82868
0,89,8939.922279
0.388935,100,8959.664042
0,93,8979.8451
4.301028,100,8998.976524
0.789314,100,9019.782634
